idx;pitch;tsr;Cp;Ct;Cq;dCqdpitch;dCqdtsr;stall
1653;20.00;2.75;0.097323;0.311844;0.035390;-0.017353;-0.002897;0
1654;20.00;3.00;0.091202;0.303246;0.030401;-0.021387;-0.003625;0
1655;20.00;3.25;0.080264;0.290372;0.024697;-0.023551;-0.004187;0
1656;20.00;3.50;0.065188;0.273878;0.018625;-0.024002;-0.004564;0
1657;20.00;3.75;0.047607;0.255197;0.012695;-0.023644;-0.004644;0
1658;20.00;4.00;0.027213;0.234129;0.006803;-0.023860;-0.005006;0
1659;20.00;4.25;0.003253;0.210110;0.000765;-0.024526;-0.005509;0
1660;20.00;4.50;0.000000;0.182981;-0.005460;-0.025106;-0.006015;0
1661;20.00;4.75;0.000000;0.153055;-0.011788;-0.025459;-0.006426;0
1662;20.00;5.00;0.000000;0.120485;-0.018189;-0.025822;-0.006844;0
1663;20.00;5.25;0.000000;0.085172;-0.024699;-0.026286;-0.007307;0
1664;20.00;5.50;0.000000;0.047231;-0.031332;-0.026735;-0.007756;0
1665;20.00;5.75;0.000000;0.006790;-0.038066;-0.027205;-0.008220;0
1666;20.00;6.00;0.000000;-0.036279;-0.044935;-0.027757;-0.008720;0
1667;20.00;6.25;0.000000;-0.081971;-0.051945;-0.028229;-0.009256;0
1668;20.00;6.50;0.000000;-0.130095;-0.059049;-0.028700;-0.009720;0
1669;20.00;6.75;0.000000;-0.180932;-0.066295;-0.029268;-0.010304;0
1670;20.00;7.00;0.000000;-0.234482;-0.073683;-0.029898;-0.010919;0
1671;20.00;7.25;0.000000;-0.290884;-0.081244;-0.030773;-0.011592;0
1672;20.00;7.50;0.000000;-0.349801;-0.089070;-0.031917;-0.012488;0
1673;20.00;7.75;0.000000;-0.410635;-0.097202;-0.033106;-0.013467;0
1674;20.00;8.00;0.000000;-0.473738;-0.105623;-0.034321;-0.014361;0
1675;20.00;8.25;0.000000;-0.539226;-0.114363;-0.035401;-0.015398;0
1676;20.00;8.50;0.000000;-0.607517;-0.123324;-0.036291;-0.016313;0
1677;20.00;8.75;0.000000;-0.678489;-0.132508;-0.036792;-0.017099;0
1678;20.00;9.00;0.000000;-0.752072;-0.141720;-0.037595;-0.017528;0
1679;20.00;9.25;0.000000;-0.827294;-0.151306;-0.039137;-0.018608;0
1680;20.00;9.50;0.000000;-0.904375;-0.161289;-0.040763;-0.019911;0
1681;20.00;9.75;0.000000;-0.983564;-0.171688;-0.042595;-0.021372;0
1682;20.00;10.00;0.000000;-1.064942;-0.182586;-0.043595;-0.023005;0
